Outcome,Method,INC
CDI,HCUP HA,0.003018
CDI,HCUP HA,0.004733
CAUTI,HCUP HA,0.0006252
CAUTI,HCUP HA,0.001772
CLABSI,HCUP HA,0
CLABSI,HCUP HA,0.0007675
CAN,HCUP HA,0.0002865
CAN,HCUP HA,0.00115
CDI,QMRA,0.00004
CDI,QMRA,0.00404
CDI,QMRA,0.00280
CDI,QMRA,0.00204
CDI,QMRA,1.10E-07
CDI,QMRA,9.73E-06
CDI,QMRA,8.92E-06
CDI,QMRA,4.56E-06
CDI,QMRA,3.62E-05
CDI,QMRA,2.24E-03
CDI,QMRA,1.23E-02
CDI,QMRA,0.00E+00
CAUTI,QMRA,2.81E-12
CAUTI,QMRA,7.57E-12
CAUTI,QMRA,7.53E-13
CAUTI,QMRA,1.02E-09
CAUTI,QMRA,2.42E-13
CDI,HCUP HA,0.00422695
CAN,HCUP HA,0.000768591
CLABSI,HCUP HA,0.000446695
CAUTI,HCUP HA,0.001179585
CLABSI,QMRA,1.51E-07
CLABSI,QMRA,3.81E-07
CLABSI,QMRA,3.88E-08
CDI,HCUP POA,0.001442
CAUTI,HCUP POA,0.000357
CLABSI,HCUP POA,0.000251
CDI,EITS,0.011005
CDI,EITS,0.0512
CDI,EITS,0.020488
CDI,EITS,0.087234
CLABSI,EITS,0.004178
